Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
SD Hope,WI,109,83,4,7,131.32,2,England,North Sound,3 Dec 2023
TM Head,AUS,137,120,15,4,114.16,2,India,Ahmedabad,19 Nov 2023
DA Miller,SA,101,116,8,5,87.06,1,Australia,Eden Gardens,16 Nov 2023
V Kohli,IND,117,113,9,2,103.53,1,New Zealand,Wankhede,15 Nov 2023
SS Iyer,IND,105,70,4,8,150.00,1,New Zealand,Wankhede,15 Nov 2023
DJ Mitchell,NZ,134,119,9,7,112.60,2,India,Wankhede,15 Nov 2023
SS Iyer,IND,128,94,10,5,136.17,1,Netherlands,Bengaluru,12 Nov 2023
KL Rahul,IND,102,64,11,4,159.37,1,Netherlands,Bengaluru,12 Nov 2023
MR Marsh,AUS,177,132,17,9,134.09,2,Bangladesh,Pune,11 Nov 2023
BA Stokes,ENG,108,84,6,6,128.57,1,Netherlands,Pune,8 Nov 2023
Ibrahim Zadran,AFG,129,143,8,3,90.20,1,Australia,Wankhede,7 Nov 2023
GJ Maxwell,AUS,201,128,21,10,157.03,2,Afghanistan,Wankhede,7 Nov 2023
KIC Asalanka,SL,108,105,6,5,102.85,1,Bangladesh,Delhi,6 Nov 2023
V Kohli,IND,101,121,10,0,83.47,1,South Africa,Eden Gardens,5 Nov 2023
R Ravindra,NZ,108,94,15,1,114.89,1,Pakistan,Bengaluru,4 Nov 2023
Fakhar Zaman,PAK,126,81,8,11,155.55,2,New Zealand,Bengaluru,4 Nov 2023
Q de Kock,SA,114,116,10,3,98.27,1,New Zealand,Pune,1 Nov 2023
HE van der Dussen,SA,133,118,9,5,112.71,1,New Zealand,Pune,1 Nov 2023
TM Head,AUS,109,67,10,7,162.68,1,New Zealand,Dharamsala,28 Oct 2023
R Ravindra,NZ,116,89,9,5,130.33,2,Australia,Dharamsala,28 Oct 2023
DA Warner,AUS,104,93,11,3,111.82,1,Netherlands,Delhi,25 Oct 2023
GJ Maxwell,AUS,106,44,9,8,240.90,1,Netherlands,Delhi,25 Oct 2023
Q de Kock,SA,174,140,15,7,124.28,1,Bangladesh,Wankhede,24 Oct 2023
Mahmudullah,BAN,111,111,11,4,100.00,2,South Africa,Wankhede,24 Oct 2023
DJ Mitchell,NZ,130,127,9,5,102.36,1,India,Dharamsala,22 Oct 2023
H Klaasen,SA,109,67,12,4,162.68,1,England,Wankhede,21 Oct 2023
DA Warner,AUS,163,124,14,9,131.45,1,Pakistan,Bengaluru,20 Oct 2023
MR Marsh,AUS,121,108,10,9,112.03,1,Pakistan,Bengaluru,20 Oct 2023
V Kohli,IND,103,97,6,4,106.18,2,Bangladesh,Pune,19 Oct 2023
Q de Kock,SA,109,106,8,5,102.83,1,Australia,Lucknow,12 Oct 2023
RG Sharma,IND,131,84,16,5,155.95,2,Afghanistan,Delhi,11 Oct 2023
BKG Mendis,SL,122,77,14,6,158.44,1,Pakistan,Hyderabad,10 Oct 2023
S Samarawickrama,SL,108,89,11,2,121.34,1,Pakistan,Hyderabad,10 Oct 2023
Abdullah Shafique,PAK,113,103,10,3,109.70,2,Sri Lanka,Hyderabad,10 Oct 2023
Mohammad Rizwan,PAK,131,121,8,3,108.26,2,Sri Lanka,Hyderabad,10 Oct 2023
DJ Malan,ENG,140,107,16,5,130.84,1,Bangladesh,Dharamsala,10 Oct 2023
Q de Kock,SA,100,84,12,3,119.04,1,Sri Lanka,Delhi,7 Oct 2023
HE van der Dussen,SA,108,110,13,2,98.18,1,Sri Lanka,Delhi,7 Oct 2023
AK Markram,SA,106,54,14,3,196.29,1,Sri Lanka,Delhi,7 Oct 2023
DP Conway,NZ,152,121,19,3,125.61,2,England,Ahmedabad,5 Oct 2023
R Ravindra,NZ,123,96,11,5,128.12,2,England,Ahmedabad,5 Oct 2023
BM Duckett,ENG,107,78,12,2,137.17,1,Ireland,Bristol,26 Sep 2023
Shubman Gill,IND,104,97,6,4,107.21,1,Australia,Indore,24 Sep 2023
SS Iyer,IND,105,90,11,3,116.66,1,Australia,Indore,24 Sep 2023
DJ Malan,ENG,127,114,14,3,111.40,1,New Zealand,Lord's,15 Sep 2023
H Klaasen,SA,174,83,13,13,209.63,1,Australia,Centurion,15 Sep 2023
Shubman Gill,IND,121,133,8,5,90.97,2,Bangladesh,Colombo (RPS),15 Sep 2023
BA Stokes,ENG,182,124,15,9,146.77,1,New Zealand,The Oval,13 Sep 2023
AK Markram,SA,102,74,9,4,137.83,1,Australia,Potchefstroom,12 Sep 2023
V Kohli,IND,122,94,9,3,129.78,1,Pakistan,Colombo (RPS),10 Sep 2023
KL Rahul,IND,111,106,12,2,104.71,1,Pakistan,Colombo (RPS),10 Sep 2023
DA Warner,AUS,106,93,12,3,113.97,1,South Africa,Bloemfontein,9 Sep 2023
M Labuschagne,AUS,124,99,19,1,125.25,1,South Africa,Bloemfontein,9 Sep 2023
DP Conway,NZ,111,121,13,1,91.73,2,England,Cardiff,8 Sep 2023
DJ Mitchell,NZ,118,91,7,7,129.67,2,England,Cardiff,8 Sep 2023
T Bavuma,SA,114,142,14,1,80.28,1,Australia,Bloemfontein,7 Sep 2023
Mehidy Hasan Miraz,BAN,112,119,7,3,94.11,1,Afghanistan,Lahore,3 Sep 2023
Najmul Hossain Shanto,BAN,104,105,9,2,99.04,1,Afghanistan,Lahore,3 Sep 2023
Babar Azam,PAK,151,131,14,4,115.26,1,Nepal,Multan,30 Aug 2023
